id	KAT2A	Type
CGGA_178	5.537741414	Tumor
CGGA_179	5.541039935	Tumor
CGGA_180	5.545599689	Tumor
CGGA_181	5.547736128	Tumor
CGGA_182	5.559105537	Tumor
CGGA_183	5.567818527	Tumor
CGGA_184	5.574402477	Tumor
CGGA_185	5.586363479	Tumor
CGGA_186	5.586774513	Tumor
CGGA_187	5.587398235	Tumor
CGGA_188	5.588432144	Tumor
CGGA_189	5.593779391	Tumor
CGGA_190	5.594874975	Tumor
CGGA_191	5.596929761	Tumor
CGGA_192	5.597442936	Tumor
CGGA_193	5.597442936	Tumor
CGGA_194	5.598724962	Tumor
CGGA_195	5.601796527	Tumor
CGGA_196	5.602910532	Tumor
CGGA_197	5.603982626	Tumor
CGGA_198	5.620574598	Tumor
CGGA_199	5.621833377	Tumor
CGGA_200	5.625861313	Tumor
CGGA_201	5.626923755	Tumor
CGGA_202	5.630638802	Tumor
CGGA_203	5.631858713	Tumor
CGGA_204	5.634601792	Tumor
CGGA_205	5.638829415	Tumor
CGGA_206	5.640166876	Tumor
CGGA_207	5.640166876	Tumor
CGGA_208	5.641061854	Tumor
CGGA_209	5.642807226	Tumor
CGGA_210	5.654864653	Tumor
CGGA_211	5.657542617	Tumor
CGGA_212	5.661213131	Tumor
CGGA_213	5.669245583	Tumor
CGGA_214	5.670940984	Tumor
CGGA_215	5.671182998	Tumor
CGGA_216	5.679143578	Tumor
CGGA_217	5.689441762	Tumor
CGGA_218	5.695045255	Tumor
CGGA_219	5.699420063	Tumor
CGGA_220	5.700726322	Tumor
CGGA_221	5.703304425	Tumor
CGGA_222	5.70461551	Tumor
CGGA_223	5.711023054	Tumor
CGGA_224	5.712603048	Tumor
CGGA_225	5.712603048	Tumor
CGGA_226	5.713539447	Tumor
CGGA_227	5.714617061	Tumor
CGGA_228	5.731200424	Tumor
CGGA_229	5.735347375	Tumor
CGGA_230	5.738104466	Tumor
CGGA_231	5.738563396	Tumor
CGGA_232	5.745199227	Tumor
CGGA_233	5.747023684	Tumor
CGGA_234	5.753313471	Tumor
CGGA_235	5.754748369	Tumor
CGGA_236	5.757237454	Tumor
CGGA_237	5.758141361	Tumor
CGGA_238	5.759044623	Tumor
CGGA_239	5.76445067	Tumor
CGGA_240	5.768938107	Tumor
CGGA_241	5.771175862	Tumor
CGGA_242	5.772944031	Tumor
CGGA_243	5.775862287	Tumor
CGGA_244	5.786288386	Tumor
CGGA_245	5.791359336	Tumor
CGGA_246	5.791359336	Tumor
CGGA_247	5.797724268	Tumor
CGGA_248	5.801658849	Tumor
CGGA_249	5.803842255	Tumor
CGGA_250	5.824798168	Tumor
CGGA_251	5.825655026	Tumor
CGGA_252	5.830450387	Tumor
CGGA_253	5.831430535	Tumor
CGGA_254	5.836953866	Tumor
CGGA_255	5.846468536	Tumor
CGGA_256	5.852412632	Tumor
CGGA_257	5.856297205	Tumor
CGGA_258	5.859878269	Tumor
CGGA_259	5.860295038	Tumor
CGGA_260	5.863000693	Tumor
CGGA_261	5.865285577	Tumor
CGGA_262	5.875001981	Tumor
CGGA_263	5.876237012	Tumor
CGGA_264	5.881574905	Tumor
CGGA_265	5.882363648	Tumor
CGGA_266	5.888521372	Tumor
CGGA_267	5.901494361	Tumor
CGGA_268	5.906525974	Tumor
CGGA_269	5.908733551	Tumor
CGGA_270	5.911937703	Tumor
CGGA_271	5.912337651	Tumor
CGGA_272	5.918601903	Tumor
CGGA_273	5.921898622	Tumor
CGGA_274	5.92704743	Tumor
CGGA_275	5.940286748	Tumor
CGGA_276	5.945294441	Tumor
CGGA_277	5.950125065	Tumor
CGGA_278	5.950930887	Tumor
CGGA_279	5.955383361	Tumor
CGGA_280	5.956196389	Tumor
CGGA_281	5.961787821	Tumor
CGGA_282	5.96328167	Tumor
CGGA_283	5.964241509	Tumor
CGGA_284	5.964578923	Tumor
CGGA_285	5.967366958	Tumor
CGGA_286	5.970176292	Tumor
CGGA_287	5.970367274	Tumor
CGGA_288	5.979310983	Tumor
CGGA_289	5.982719537	Tumor
CGGA_290	5.984231503	Tumor
CGGA_291	5.995080084	Tumor
CGGA_292	6.004653771	Tumor
CGGA_293	6.006081127	Tumor
CGGA_294	6.00613973	Tumor
CGGA_295	6.016676901	Tumor
CGGA_296	6.017413062	Tumor
CGGA_297	6.017597035	Tumor
CGGA_298	6.019310723	Tumor
CGGA_299	6.019310723	Tumor
CGGA_300	6.021584732	Tumor
CGGA_301	6.026761709	Tumor
CGGA_302	6.033501024	Tumor
CGGA_303	6.033501024	Tumor
CGGA_304	6.034771996	Tumor
CGGA_305	6.041508608	Tumor
CGGA_306	6.043762817	Tumor
CGGA_307	6.046153569	Tumor
CGGA_308	6.046513215	Tumor
CGGA_309	6.046872759	Tumor
CGGA_310	6.047591539	Tumor
CGGA_311	6.061171244	Tumor
CGGA_312	6.062769744	Tumor
CGGA_313	6.064720724	Tumor
CGGA_314	6.064897936	Tumor
CGGA_315	6.072886712	Tumor
CGGA_316	6.074222854	Tumor
CGGA_317	6.076003283	Tumor
CGGA_318	6.077241447	Tumor
